unit	state	preset
ModemManager.service	enabled	disabled
NetworkManager-dispatcher.service	enabled	disabled
NetworkManager-wait-online.service	enabled	disabled
NetworkManager.service	enabled	disabled
avahi-daemon.service	enabled	disabled
avahi-daemon.socket	enabled	disabled
bactl.service	enabled	disabled
bluetooth.service	enabled	disabled
btrfs-balance.timer	enabled	disabled
btrfs-defrag.timer	enabled	disabled
btrfs-scrub.timer	enabled	disabled
btrfs-trim.timer	enabled	disabled
cockpit.socket	enabled	disabled
cronie.service	enabled	disabled
cups.socket	enabled	disabled
firewalld.service	enabled	disabled
force-display-off.timer	enabled	disabled
garuda-pacman-lock.service	enabled	disabled
getty@.service	enabled	enabled
grub-btrfs-snapper.path	enabled	disabled
ipp-usb.service	enabled	disabled
libvirtd-admin.socket	enabled	disabled
libvirtd-ro.socket	enabled	disabled
libvirtd.service	enabled	disabled
libvirtd.socket	enabled	disabled
linux-modules-cleanup.service	enabled	disabled
llama-server.service	enabled	disabled
llm-gateway.service	enabled	disabled
ollama.service	enabled	disabled
plasmalogin.service	enabled	disabled
power-profiles-daemon.service	enabled	disabled
pr1m3-android-keep-awake.service	enabled	disabled
pr1m3-sx1-artifact-watch.service	enabled	disabled
remote-fs.target	enabled	enabled
saned.socket	enabled	disabled
snapper-boot.timer	enabled	disabled
snapper-cleanup.timer	enabled	disabled
snapper-timeline.timer	enabled	disabled
sshd.service	enabled	disabled
systemd-oomd.service	enabled	disabled
systemd-oomd.socket	enabled	disabled
systemd-timesyncd.service	enabled	enabled
systemd-userdbd.socket	enabled	enabled
virtlockd-admin.socket	enabled	disabled
virtlockd.socket	enabled	disabled
virtlogd-admin.socket	enabled	disabled
virtlogd.socket	enabled	disabled
