target	source	fstype	options
/	/dev/mapper/luks-07e33bd6-d2f0-4c36-9bc5-ae60820d69f5[/@]	btrfs	rw,noatime,compress=zstd:3,ssd,space_cache=v2,subvolid=2466,subvol=/@
/sys/firmware/efi/efivars	efivarfs	efivarfs	rw,nosuid,nodev,noexec,relatime
/proc/sys/fs/binfmt_misc	binfmt_misc	binfmt_misc	rw,nosuid,nodev,noexec,relatime
/srv	/dev/mapper/luks-07e33bd6-d2f0-4c36-9bc5-ae60820d69f5[/@srv]	btrfs	rw,noatime,compress=zstd:3,ssd,space_cache=v2,subvolid=259,subvol=/@srv
/var/cache	/dev/mapper/luks-07e33bd6-d2f0-4c36-9bc5-ae60820d69f5[/@cache]	btrfs	rw,noatime,compress=zstd:3,ssd,space_cache=v2,subvolid=260,subvol=/@cache
/root	/dev/mapper/luks-07e33bd6-d2f0-4c36-9bc5-ae60820d69f5[/@root]	btrfs	rw,noatime,compress=zstd:3,ssd,space_cache=v2,subvolid=258,subvol=/@root
/var/tmp	/dev/mapper/luks-07e33bd6-d2f0-4c36-9bc5-ae60820d69f5[/@tmp]	btrfs	rw,noatime,compress=zstd:3,ssd,space_cache=v2,subvolid=262,subvol=/@tmp
/var/log	/dev/mapper/luks-07e33bd6-d2f0-4c36-9bc5-ae60820d69f5[/@log]	btrfs	rw,noatime,compress=zstd:3,ssd,space_cache=v2,subvolid=261,subvol=/@log
/boot/efi	/dev/sda1	vfat	rw,relatime,fmask=0077,dmask=0077,codepage=437,iocharset=ascii,shortname=mixed,utf8,errors=remount-ro
/nix	/dev/mapper/luks-07e33bd6-d2f0-4c36-9bc5-ae60820d69f5[/@nix]	btrfs	rw,relatime,compress=zstd:3,ssd,space_cache=v2,subvolid=12967,subvol=/@nix
