arch_name	nix_attr	mapping_kind
bazaar-git	bazaar	strip-variant-suffix
brave-bin	brave	strip-variant-suffix
bulk-extractor	bulk_extractor	hyphen-to-underscore
cloudflare-warp-bin	cloudflare-warp	strip-variant-suffix
ctypes-sh	ctypes_sh	hyphen-to-underscore
docbook-xsl	docbook_xsl	hyphen-to-underscore
firefox-decrypt	firefox_decrypt	hyphen-to-underscore
hash-extender	hash_extender	hyphen-to-underscore
kontainer-git	kontainer	strip-variant-suffix
linux-zen	linux_zen	hyphen-to-underscore
m17n-db	m17n_db	hyphen-to-underscore
m17n-lib	m17n_lib	hyphen-to-underscore
postman-bin	postman	strip-variant-suffix
python-adblock	python3Packages.adblock	python3-package
python-appdirs	python3Packages.appdirs	python3-package
python-attrs	python3Packages.attrs	python3-package
python-autocommand	python3Packages.autocommand	python3-package
python-automat	python3Packages.automat	python3-package
python-babel	python3Packages.babel	python3-package
python-bcrypt	python3Packages.bcrypt	python3-package
python-beautifulsoup4	python3Packages.beautifulsoup4	python3-package
python-cachecontrol	python3Packages.cachecontrol	python3-package
python-certifi	python3Packages.certifi	python3-package
python-cffi	python3Packages.cffi	python3-package
python-chardet	python3Packages.chardet	python3-package
python-charset-normalizer	python3Packages.charset-normalizer	python3-package
python-click	python3Packages.click	python3-package
python-colorama	python3Packages.colorama	python3-package
python-configobj	python3Packages.configobj	python3-package
python-constantly	python3Packages.constantly	python3-package
python-contourpy	python3Packages.contourpy	python3-package
python-cryptography	python3Packages.cryptography	python3-package
python-cssselect	python3Packages.cssselect	python3-package
python-cycler	python3Packages.cycler	python3-package
python-cymruwhois	python3Packages.cymruwhois	python3-package
python-distro	python3Packages.distro	python3-package
python-docutils	python3Packages.docutils	python3-package
python-filelock	python3Packages.filelock	python3-package
python-fonttools	python3Packages.fonttools	python3-package
python-geoip	python3Packages.geoip	python3-package
python-gpgme	python3Packages.gpgme	python3-package
python-greenlet	python3Packages.greenlet	python3-package
python-grpcio	python3Packages.grpcio	python3-package
python-grpcio-tools	python3Packages.grpcio-tools	python3-package
python-h11	python3Packages.h11	python3-package
python-httplib2	python3Packages.httplib2	python3-package
python-hyperlink	python3Packages.hyperlink	python3-package
python-idna	python3Packages.idna	python3-package
python-ifaddr	python3Packages.ifaddr	python3-package
python-imagesize	python3Packages.imagesize	python3-package
python-importlib-metadata	python3Packages.importlib-metadata	python3-package
python-incremental	python3Packages.incremental	python3-package
python-invoke	python3Packages.invoke	python3-package
python-isodate	python3Packages.isodate	python3-package
python-kiwisolver	python3Packages.kiwisolver	python3-package
python-lief	python3Packages.lief	python3-package
python-lockfile	python3Packages.lockfile	python3-package
python-lxml	python3Packages.lxml	python3-package
python-mako	python3Packages.mako	python3-package
python-markdown	python3Packages.markdown	python3-package
python-markupsafe	python3Packages.markupsafe	python3-package
python-matplotlib	python3Packages.matplotlib	python3-package
python-more-itertools	python3Packages.more-itertools	python3-package
python-msgpack	python3Packages.msgpack	python3-package
