arch_name	status	nix_attr	mapping_kind
0d1n	unmatched		
0trace	unmatched		
3proxy	unmatched		
3proxy-win32	unmatched		
42zip	unmatched		
7zip	unmatched		
a2jmidid	direct	a2jmidid	exact-validated
a2ps	direct	a2ps	exact-validated
a2sv	unmatched		
aardvark-dns	direct	aardvark-dns	exact-validated
abcd	unmatched		
above	direct	above	exact-validated
abuse-ssl-bypass-waf	unmatched		
acccheck	unmatched		
ace	direct	ace	exact-validated
aclpwn	unmatched		
activedirectoryenum	unmatched		
ad-ldap-enum	direct	ad-ldap-enum	exact-validated
ad-miner	direct	ad-miner	exact-validated
ada	direct	ada	exact-validated
adape-script	unmatched		
adaptix-c2	unmatched		
adassault	unmatched		
adenum	direct	adenum	exact-validated
adexplorersnapshot	unmatched		
adfind	unmatched		
adfspray	unmatched		
adidnsdump	direct	adidnsdump	exact-validated
admid-pack	unmatched		
adminpagefinder	unmatched		
admsnmp	unmatched		
adpeas	unmatched		
adversarial-robustness-toolbox	unmatched		
aesfix	direct	aesfix	exact-validated
aeskeyfind	direct	aeskeyfind	exact-validated
aespipe	direct	aespipe	exact-validated
aesshell	unmatched		
afflib	direct	afflib	exact-validated
agafi	unmatched		
against	unmatched		
aggroargs	unmatched		
aiengine	unmatched		
aimage	unmatched		
aiodnsbrute	direct	aiodnsbrute	exact-validated
air	direct	air	exact-validated
airflood	unmatched		
airgeddon	direct	airgeddon	exact-validated
airopy	unmatched		
airoscript	unmatched		
airpwn	unmatched		
airspyhf	direct	airspyhf	exact-validated
ajpfuzzer	unmatched		
akonadi	unmatched		
akonadi-calendar	unmatched		
akonadi-contacts	unmatched		
akonadi-import-wizard	unmatched		
akonadi-mime	unmatched		
akonadi-search	unmatched		
albatar	unmatched		
alembic	direct	alembic	exact-validated
allthevhosts	unmatched		
alsa-firmware	direct	alsa-firmware	exact-validated
alsa-plugins	direct	alsa-plugins	exact-validated
altdns	direct	altdns	exact-validated
amass	direct	amass	exact-validated
amber	direct	amber	exact-validated
amd-ucode	unmatched		
amoco	direct	amoco	exact-validated
analyzemft	unmatched		
analyzepesig	unmatched		
androbugs	unmatched		
androguard	direct	androguard	exact-validated
androick	unmatched		
android-apktool	unmatched		
android-ndk	unmatched		
android-udev-rules	unmatched		
androidmeda	unmatched		
androidpincrack	unmatched		
androidsniffer	unmatched		
androwarn	unmatched		
angr	unmatched		
angr-management	unmatched		libbs-tests-fail-pycparser-ply-api
angr-py2	unmatched		
angrop	unmatched		
anontwi	unmatched		
ansible	direct	ansible	exact-validated
ansible-core	unmatched		
anti-xss	unmatched		
antiransom	unmatched		
anubis-netsec	unmatched		
apache-users	direct	apache-users	exact-validated
apachetomcatscanner	direct	apachetomcatscanner	exact-validated
apacket	unmatched		
aphopper	unmatched		
apkid	direct	apkid	exact-validated
apkleaks	direct	apkleaks	exact-validated
apkstat	unmatched		
apkstudio	unmatched		
apkurlgrep	unmatched		
apnbf	unmatched		
appimagepool-appimage	unmatched		
appmenu-gtk-module	unmatched		
appmon	unmatched		
apt2	unmatched		
aptdec	direct	aptdec	exact-validated
aquatone	unmatched		
aranea	unmatched		
arcane	unmatched		
archivebox	unmatched		
archlinux-appstream-data	unmatched		
ardour	direct	ardour	exact-validated
ares	direct	ares	exact-validated
argon2	unmatched		
argus	direct	argus	exact-validated
argus-clients	direct	argus-clients	exact-validated
arj	direct	arj	exact-validated
ark	direct	ark	exact-validated
armitage	direct	armitage	exact-validated
armor	unmatched		
armscgen	unmatched		
arpalert	unmatched		
arping-th	unmatched		
arpoison	direct	arpoison	exact-validated
arpon	unmatched		
arpspoof-smikims	unmatched		
arpstraw	unmatched		
arptools	unmatched		
arpwner	unmatched		
artillery	unmatched		
artlas	unmatched		
asn	direct	asn	exact-validated
asnmap	direct	asnmap	exact-validated
asp-audit	unmatched		
aspisec	unmatched		
assassingo	unmatched		
