name	version	reason	foreign	repository
0d1n	1:263.2d723ae-2	explicit	no	blackarch
0trace	1.5-7	explicit	no	blackarch
3proxy	0.9.6-1	explicit	no	blackarch
3proxy-win32	0.9.6.1-1	explicit	no	blackarch
42zip	1:42-3	explicit	no	blackarch
7zip	26.03-1	explicit	no	extra
a2jmidid	9-6	explicit	no	extra
a2ps	4.15.8-1	explicit	no	extra
a2sv	140.cb24c4e-4	explicit	no	blackarch
a52dec	0.8.0-3	dependency	no	extra
aalib	1.4rc5-19	dependency	no	extra
aardvark-dns	2.1.0-3	explicit	no	extra
abcd	4.2738809-5	explicit	no	blackarch
above	1:v2.8.1.r0.g313f550-1	explicit	no	blackarch
abseil-cpp	20260817.0-2	dependency	no	extra
abuse-ssl-bypass-waf	7.c28f98e-9	explicit	no	blackarch
acccheck	0.2.1-7	explicit	no	blackarch
accountsservice	26.27.3-1	dependency	no	extra
ace	1.11-1	explicit	no	blackarch
acl	2.4.0-1	dependency	no	core
aclpwn	4.81480cc-12	explicit	no	blackarch
activedirectoryenum	1:0.5.0-10	explicit	no	blackarch
ad-ldap-enum	90.caee43d-1	explicit	no	blackarch
ad-miner	v1.9.0.r0.gac3d473-1	explicit	no	blackarch
ada	4.0.0-1	explicit	no	extra
adape-script	43.4d0b9ff-2	explicit	no	blackarch
adaptix-c2	727.6605760-1	explicit	no	blackarch
adassault	0.0.4.r25.g83196e3-1	explicit	no	blackarch
adenum	36.fbbe14d-9	explicit	no	blackarch
adexplorersnapshot	146.2f84590-1	explicit	no	blackarch
adfind	1:v1.0.3.r3.g46acf19-1	explicit	no	blackarch
adfspray	6.3d7745d-8	explicit	no	blackarch
adidnsdump	1:v1.4.0.r1.g95adaf8-1	explicit	no	blackarch
admid-pack	1:0.1-2	explicit	no	blackarch
adminpagefinder	0.1-6	explicit	no	blackarch
admsnmp	0.1-5	explicit	no	blackarch
adns	1.7.0-1	dependency	no	extra
adpeas	1.3.0.r15.g0bfcedc-1	explicit	no	blackarch
adversarial-robustness-toolbox	1.20.1.r155.g23539e2-2	explicit	no	blackarch
adwaita-cursors	50.0-1	dependency	no	extra
adwaita-fonts	51.0-2	dependency	no	extra
adwaita-icon-theme	50.0-1	dependency	no	extra
adwaita-icon-theme-legacy	46.2-3	dependency	no	extra
aesfix	1.0.1-6	explicit	no	blackarch
aeskeyfind	1.0-5	explicit	no	blackarch
aespipe	2.4i-1	explicit	no	blackarch
aesshell	0.7-6	explicit	no	blackarch
afflib	3.7.22-2	explicit	no	blackarch
afl++	5.00c-1	dependency	no	extra
afpfs-ng	0.8.2-4	dependency	no	extra
agafi	1:1.1-3	explicit	no	blackarch
against	1:0.2-5	explicit	no	blackarch
aggroargs	51.c032446-4	explicit	no	blackarch
aha	0.5.1-3	dependency	no	extra
aiengine	1:2.0.1-3	explicit	no	blackarch
aimage	3.3.0-1	explicit	no	blackarch
aiodnsbrute	1:v0.3.2.r0.ge773a4c-1	explicit	no	blackarch
air	2.0.0-9	explicit	no	blackarch
aircrack-ng	1.7-7	dependency	no	extra
airflood	0.1-7	explicit	no	blackarch
airgeddon	12.01-1	explicit	no	chaotic-aur
airopy	5.b83f11d-10	explicit	no	blackarch
airoscript	2:45.0a122ee-12	explicit	no	blackarch
airpwn	1.4-3	explicit	no	blackarch
airspy	1.0.10-5	dependency	no	extra
airspyhf	1.6.8.r75.g24fe8ff-1	explicit	no	blackarch
ajpfuzzer	0.7-1	explicit	no	blackarch
akonadi	26.08.1-1	explicit	no	extra
akonadi-calendar	26.08.1-1	explicit	no	extra
akonadi-contacts	26.08.1-1	explicit	no	extra
akonadi-import-wizard	26.08.1-1	explicit	no	extra
akonadi-mime	26.08.1-1	explicit	no	extra
akonadi-search	26.08.1-1	explicit	no	extra
albatar	1:0.1.r11.gd500657-1	explicit	no	blackarch
alembic	1.8.12-1	explicit	no	extra
allthevhosts	1.0-8	explicit	no	blackarch
alsa-card-profiles	1:1.6.9-1	dependency	no	extra
alsa-firmware	1.2.4-4	explicit	no	extra
alsa-lib	1.2.16.1-1	dependency	no	extra
alsa-plugins	1:1.2.12-6	explicit	no	extra
alsa-topology-conf	1.2.5.1-4	dependency	no	extra
alsa-ucm-conf	1.2.16.1-1	dependency	no	extra
altdns	78.6728272-3	explicit	no	blackarch
amap	2:5.4-1	dependency	no	blackarch
amass	3:v5.1.1.r0.g79299dc-1	explicit	no	blackarch
amber	1:v3.1.r2.gf6eb2dc-1	explicit	no	blackarch
amd-ucode	20260916-1	explicit	no	core
amoco	1:v2.9.11.r4.g3e36c52-2	explicit	no	blackarch
analyzemft	1:v3.1.1.0.r0.gd82bc98-1	explicit	no	blackarch
analyzepesig	0.0.0.5-7	explicit	no	blackarch
androbugs	7fd3a2c.r0.g7fd3a2c-1	explicit	no	blackarch
androguard	3:3.3.5-6	explicit	no	blackarch
androick	8.522cfb4-2	explicit	no	blackarch
android-apktool	3.0.3-1	explicit	no	chaotic-aur
android-ndk	r30-1	explicit	no	chaotic-aur
android-sdk	26.1.1-2.3	dependency	no	chaotic-aur
android-sdk-build-tools	r37.0.0-2	dependency	no	chaotic-aur
android-sdk-platform-tools	37.0.1-1	dependency	no	chaotic-aur
android-tools	37.0.0-5	dependency	no	extra
android-udev	20260423-1	dependency	no	extra
android-udev-rules	1:20260423.r3.g7ce74d6-1	explicit	no	blackarch
androidmeda	v2.0.0.r1.ge2e5084-1	explicit	no	blackarch
androidpincrack	5.6439bd2-1	explicit	no	blackarch
androidsniffer	0.1-8	explicit	no	blackarch
androwarn	135.626c02d-11	explicit	no	blackarch
angr	2:9.2.194-1	explicit	no	blackarch
angr-management	9.2.179-3	explicit	no	blackarch
angr-py2	1:7.8.9.26-5	explicit	no	blackarch
angrop	1:v9.2.12.post3.r73.g6875df8-1	explicit	no	blackarch
anontwi	1.1b-5	explicit	no	blackarch
ansible	14.4.0-1	explicit	no	extra
ansible-core	2.21.4-1	explicit	no	extra
ant	1.10.17-1	dependency	no	extra
anti-xss	1:v0.1.alpha.r69.g2725dc9-1	explicit	no	blackarch
antiransom	5-1	explicit	no	blackarch
antiword	0.37-12	dependency	no	extra
anubis-netsec	1.1.3.r16.g11cc2e0-1	explicit	no	blackarch
aom	3.15.1-1	dependency	no	extra
apache	2.4.68-1	dependency	no	extra
apache-tika	3.3.0-1	dependency	no	blackarch
apache-users	2.1-7	explicit	no	blackarch
apachetomcatscanner	3.2-8	explicit	no	blackarch
apacket	374.16e7036-1	explicit	no	blackarch
aphopper	0.3-4	explicit	no	blackarch
apkid	2:3.0.0-1	explicit	no	blackarch
apkleaks	v2.6.3.r2.gdd5271a-2	explicit	no	blackarch
apkstat	18.81cdad3-5	explicit	no	blackarch
apkstudio	2:6.3.0.r0.gc6e2724-1	explicit	no	blackarch
apkurlgrep	8.a188a98-2	explicit	no	blackarch
apnbf	0.1-4	explicit	no	blackarch
appimagepool-appimage	5.1.0-1.1	explicit	no	chaotic-aur
appmenu-gtk-module	25.04-3	explicit	no	extra
appmon	1:0.5.r36.gf753c4d-1	explicit	no	blackarch
appstream	1.2.0-1	dependency	no	extra
appstream-glib	0.8.4-1	dependency	no	extra
appstream-qt	1.2.0-1	dependency	no	extra
apr	1.7.6-1	dependency	no	extra
apr-util	1.6.5-1	dependency	no	extra
apt2	1:v1.0.20180315.r12.g8075cdc-1	explicit	no	blackarch
aptdec	v1.8.0.r2.g7db2030-1	explicit	no	blackarch
aquatone	1:v1.9.1.shelld3v.r14.g30fbf6e-1	explicit	no	blackarch
arachni	1.6.1.3.5.g9cd73f254-1	dependency	no	blackarch
aranea	6.469b9ee-4	explicit	no	blackarch
arcane	2.750cb9f-3	explicit	no	blackarch
archivebox	903.59da482-10	explicit	no	blackarch
archlinux-appstream-data	20260910-1	explicit	no	extra
archlinux-keyring	20260909-1	dependency	no	core
ardour	9.8-1	explicit	no	extra
ares	v0.10.0.r110.ga63614a-1	explicit	no	blackarch
argon2	20190702-7	explicit	no	extra
argus	3.0.8.2-7	explicit	no	blackarch
argus-clients	3.0.8.3-1	explicit	no	blackarch
arj	3.10.22-14	explicit	no	extra
arjun	1:2.2.7.r5.gd1fb995-2	dependency	no	blackarch
ark	26.08.1-1	explicit	no	extra
armitage	4:150813-7	explicit	no	blackarch
armor	5.bae27a6-2	explicit	no	blackarch
armscgen	98.c51b7d6-7	explicit	no	blackarch
arp-scan	1.10.0-5	dependency	no	extra
arpack	3.9.1-3	dependency	no	extra
arpalert	1:2.0.12-1	explicit	no	blackarch
arping-th	2.25-2	explicit	no	blackarch
arpoison	0.7-2	explicit	no	blackarch
arpon	3.1-1	explicit	no	blackarch
arpspoof-smikims	31.ef5f0b1-4	explicit	no	blackarch
arpstraw	27.ab40e13-8	explicit	no	blackarch
arptools	13.41cdb23-1	explicit	no	blackarch
arpwner	26.f300fdf-6	explicit	no	blackarch
artillery	2:1.5.1.r218.g805a5d8-1	explicit	no	blackarch
artlas	154.e5fdd8d-4	explicit	no	blackarch
asio	1.38.2-1	dependency	no	extra
asleap	2.3-1	dependency	no	blackarch
asn	0.78.0-1	explicit	no	blackarch
asnmap	v1.1.1.r6.gcedef8b-1	explicit	no	blackarch
asp-audit	2BETA-7	explicit	no	blackarch
aspell	0.60.8.2-2	dependency	no	extra
aspell-en	2026.02.25-1	dependency	no	extra
aspisec	0.3.0-1	explicit	no	blackarch
assassingo	173.2dd8650-3	explicit	no	blackarch
assetfinder	1:v0.1.1.r0.g4e95d87-1	explicit	no	blackarch
assetnote-wordlists	183.6dea231-1	explicit	no	blackarch
astra	489.092804a-3	explicit	no	blackarch
at-spi2-core	2.60.7-1	dependency	no	extra
atear	139.245ec8d-5	explicit	no	blackarch
atftp	0.8.1-1	dependency	no	extra
athena-ssl-scanner	0.6.2-5	explicit	no	blackarch
atkmm	2.28.5-2	explicit	no	extra
atlas	7.77bd6c8-9	explicit	no	blackarch
atscan	2461.06521a9-3	explicit	no	blackarch
atstaketools	0.1-5	explicit	no	blackarch
attacksurfacemapper	1:v1.1.r25.g8a402ed-1	explicit	no	blackarch
attica	6.30.0-1	dependency	no	extra
attk	2.0.1023-1	explicit	no	blackarch
attr	2.6.0-1	dependency	no	core
aubio	0.4.9-25	explicit	no	extra
audacious	4.6.1-2	explicit	no	extra
audacious-plugins	4.6.1-5	explicit	no	extra
audacity	1:3.7.9-1	explicit	no	extra
audiofile	0.3.6-12	explicit	no	extra
audit	4.2.1-1	dependency	no	core
augeas	1.14.1-5	explicit	no	extra
auracle-git	r464.885e962-1.1	dependency	no	chaotic-aur
aurebeshjs	77.75a8fc6-1	explicit	no	blackarch
aurman	2.22-1	explicit	yes	foreign
aurorae	6.7.5-1	dependency	no	extra
auto-eap	18.ee36d37-3	explicit	no	blackarch
auto-xor-decryptor	7.2eb176d-8	explicit	no	blackarch
autoconf	2.73-1	dependency	no	core
autoconf-archive	1:2024.10.16-4	explicit	no	extra
automake	1.18.1-1	dependency	no	core
automato	33.0561b59-9	explicit	no	blackarch
autonessus	24.7933022-4	explicit	no	blackarch
autonse	25.7c87f4c-1	explicit	no	blackarch
autopep8	1:2.3.2-2	dependency	no	extra
autopsy	1:4.23.1-1	explicit	no	blackarch
autopwn	190.fc80cef-12	explicit	no	blackarch
autorandr	1.15-2	explicit	no	extra
autorecon	297.e7e98f6-2	explicit	no	blackarch
autosint	236.25d292c-4	explicit	no	blackarch
autosploit	1:v4.0.r2.g9a6a5ef-1	explicit	no	blackarch
autossh	1.4g-4	dependency	no	extra
autovpn	18.28b1a87-4	explicit	no	blackarch
avahi	1:0.9rc5-1	dependency	no	extra
avaloniailspy	1:v7.2.rc.r11.g21d4939-1	explicit	no	blackarch
avet	560.6da43bf-2	explicit	no	blackarch
avml	1:v0.17.0.r3.g12c2a71-1	explicit	no	blackarch
awesome	4.3-6	dependency	no	extra
aws-cli	1.44.81-1	dependency	no	extra
aws-extender-cli	17.a351154-13	explicit	no	blackarch
aws-iam-privesc	11.2983efd-6	explicit	no	blackarch
aws-inventory	19.9a2fa8e-3	explicit	no	blackarch
awsbucketdump	82.4684670-8	explicit	no	blackarch
axel	2.17.14-2	dependency	no	extra
ayatana-ido	0.10.4-1	explicit	no	extra
azazel	15.a41fbb5-3	explicit	no	blackarch
aztarna	1.2.1-9	explicit	no	blackarch
b43-fwcutter	020-1	explicit	no	core
babl	0.1.128-1	explicit	no	extra
backcookie	51.6dabc38-5	explicit	no	blackarch
backdoor-apk	141.2710126-1	explicit	no	blackarch
backdoor-factory	1:210.0c53045-3	dependency	no	blackarch
backdoorme	308.f9755ca-10	explicit	no	blackarch
backdoorppt	88.d0e7f91-7	explicit	no	blackarch
backfuzz	1:1.b0648de-3	explicit	no	blackarch
backhack	39.561ec86-3	explicit	no	blackarch
backoori	55.988e507-3	explicit	no	blackarch
backorifice	1.0-3	explicit	no	blackarch
bactl	15.6062356-1	explicit	no	blackarch
bad-pdf	1:v1.1.r31.g4b42f66-3	explicit	no	blackarch
badkarma	85.2c46334-13	explicit	no	blackarch
badministration	16.69e4ec2-5	explicit	no	blackarch
badsecrets	1.2.1.r0.gd9e43d8-1	explicit	no	blackarch
bagbak	342.71fbd4d-1	explicit	no	blackarch
baka-mplayer	2.0.4-6	explicit	no	extra
balbuzard	77.16c1e21-1	explicit	no	blackarch
baloo	6.30.0-1	dependency	no	extra
baloo-widgets	26.08.1-1	dependency	no	extra
bamf-framework	35.30d2b4b-3	explicit	no	blackarch
bandicoot	0.6.0-9	explicit	no	blackarch
bandit	1.9.4-1	dependency	no	extra
barf	923.9547ef8-10	explicit	no	blackarch
barmie	1.01-2	explicit	no	blackarch
barq	35.6f1a68c-9	explicit	no	blackarch
base	3-3	explicit	no	core
base-devel	1-2	explicit	no	core
base64dump	0.0.14-3	explicit	no	blackarch
basedomainname	0.1-10	explicit	no	blackarch
bash	5.3.20-1	dependency	no	core
bash-completion	2.18.0-1	explicit	no	extra
bashfuscator	338.7487348-9	explicit	no	blackarch
bashscan	94.80c066c-1	explicit	no	blackarch
bat	0.26.1-3	dependency	no	extra
batctl	2026.3-1	dependency	no	extra
batman-adv	2019.2-1	explicit	no	blackarch
batman-alfred	2025.2-1	explicit	no	blackarch
bauh	0.10.7-1.4	explicit	yes	foreign
bazaar-git	0.9.4.r111.g3997cf2-1	explicit	no	chaotic-aur
bbot	3:v3.0.2.r0.ga6fb827-1	explicit	no	blackarch
bbqsql	261.b9859d2-5	explicit	no	blackarch
bbscan	53.29b9f11-1	explicit	no	blackarch
bc	1.08.2-1	dependency	no	extra
bcg729	1.1.1-2	dependency	no	extra
bdfproxy	107.276c367-1	explicit	no	blackarch
bdlogparser	2-5	explicit	no	blackarch
bed	0.5-13	explicit	no	blackarch
beebug	25.cddb375-9	explicit	no	blackarch
beef	2:v0.6.0.0.r443.gba882e0-1	dependency	no	blackarch
beeswarm	1183.db51ea0-8	explicit	no	blackarch
beholder	0.8.10-1	explicit	no	blackarch
belati	72.49577a1-7	explicit	no	blackarch
beleth	36.0963699-1	explicit	no	blackarch
berate_ap	v0.4.6.r100.ged4ba9b-1	explicit	no	blackarch
beroot	1.0.1.r109.g4c0b648-5	explicit	no	blackarch
bettercap	2.41.7-2	dependency	no	extra
bettercap-ui	1.4.0-1	explicit	no	blackarch
bfac	1:v1.0.r12.g18fb0b5-1	explicit	no	blackarch
bfbtester	2.1.0-1	explicit	no	blackarch
bfuzz	60.fdaefc0-3	explicit	no	blackarch
bgp-md5crack	0.1-3	explicit	no	blackarch
bgrep	27.38b746f-1	explicit	no	blackarch
billcipher	32.97fba59-2	explicit	no	blackarch
binaryninja	6.0.10601-1	explicit	no	blackarch
bind	9.20.29-1	explicit	no	extra
bindead	4504.67019b97b-2	explicit	no	blackarch
bindiff	6.0.0-1	explicit	no	blackarch
binex	1.0-2	explicit	no	blackarch
binflow	5.7fb02a9-1	explicit	no	blackarch
bing-ip2hosts	1.0.5-1	explicit	no	blackarch
bing-lfi-rfi	0.1-5	explicit	no	blackarch
bingoo	3.698132f-1	explicit	no	blackarch
binnavi	6.1.0-3	explicit	no	blackarch
binproxy	8.d02fce9-15	explicit	no	blackarch
binutils	2.47-4	dependency	no	core
binwalk	3.1.0-1	dependency	no	extra
binwally	4.0aabd8b-4	explicit	no	blackarch
bios_memimage	1.2-3	explicit	no	blackarch
birdfont	2.33.6-1	explicit	no	extra
birp	65.b2e108a-6	explicit	no	blackarch
bison	3.8.2-8	dependency	no	core
bitcoin-daemon	31.1-3	dependency	no	extra
bitcoin-tx	31.1-3	dependency	no	extra
bitdump	34.6a5cbd8-7	explicit	no	blackarch
bittwist	2.0-2	explicit	no	blackarch
bitwig-studio	6.1.1-1	explicit	no	chaotic-aur
bkcrack	v1.8.1.r51.gf7e61ba-1	explicit	no	blackarch
bkhive	1.1.1-2	explicit	no	blackarch
blackarch-config-awesome	49.ea88207-1	explicit	no	blackarch
blackarch-config-bash	12.f7ad26a-1	explicit	no	blackarch
blackarch-config-calamares	42.bb26f2f-1	explicit	no	blackarch
blackarch-config-cursor	3.08b06e5-1	explicit	no	blackarch
blackarch-config-fluxbox	41.a172928-1	explicit	no	blackarch
blackarch-config-gtk	4.f9f6a21-3	explicit	no	blackarch
blackarch-config-i3	202.01edbd9-2	explicit	no	blackarch
blackarch-config-icons	6.f4bf107-1	explicit	no	blackarch
blackarch-config-lxdm	20.b109457-1	explicit	no	blackarch
blackarch-config-openbox	40.6914684-1	explicit	no	blackarch
